point_id,latitude,longitude,arrondissement,heat_class,heat_label,total_features,collisions_n,collisions_victimes,collisions_morts,collisions_blesses_graves,collisions_blesses_legers,collisions_gravite_pire,permis_n,permis_logements,permis_types_top,entraves_n,entraves_actives,entraves_raisons_top,entraves_fin_derniere,arbres_n,arbres_especes_top,arbres_dhp_moyen,emplacements_arbres_n
P00001,45.512,-73.5846,Ville-Marie,1,Îlot de fraîcheur,4,0,0,0,0,0,,0,0,,0,0,,,2,Caryer cordiforme(2),5,2
P00002,45.512,-73.5844,Ville-Marie,2,Température plus froide que la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,1,Ostryer de Virginie(1),5,1
P00003,45.512,-73.5814,Ville-Marie,2,Température plus froide que la moyenne,4,0,0,0,0,0,,0,0,,0,0,,,2,Micocoulier occidental(2),31,2
P00004,45.512,-73.5812,Ville-Marie,2,Température plus froide que la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,1,Micocoulier occidental(1),31,1
P00005,45.512,-73.5798,Ville-Marie,3,Température plus proche de la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,1,Érable argenté(1),50,1
P00006,45.512,-73.5788,Ville-Marie,3,Température plus proche de la moyenne,4,0,0,0,0,0,,0,0,,0,0,,,2,Févier Shademaster(2),5,2
P00007,45.512,-73.5778,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Chêne à gros fruits(1),13,1
P00008,45.512,-73.5776,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,0,0,0,0,0,,0,0,,0,0,,,2,Chêne à gros fruits(1); Ostryer de Virginie(1),7.5,2
P00009,45.512,-73.577,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,1,Érable argenté(1),51,1
P00010,45.512,-73.5766,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,1,Ginkgo à feuilles bilobées(1),5,1
P00011,45.512,-73.5752,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,1,Érable argenté(1),28,1
P00012,45.512,-73.575,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,6,0,0,0,0,0,,4,0,Transformation combinée(4),0,0,,,1,Érable argenté(1),19,1
P00013,45.512,-73.5748,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),4,1,0,0,0,0,Dommages matériels,1,0,Transformation combinée(1),0,0,,,1,Orme hybride 'Morton Sarlwart' (Commendation TM)(1),5,1
P00014,45.512,-73.5744,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Orme Princeton(1),5,1
P00015,45.512,-73.5742,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Aulne glutineux(1),14,1
P00016,45.512,-73.574,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,Transformation combinée(1),0,0,,,0,,,0
P00017,45.512,-73.573,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),11,0,0,0,0,0,,11,0,Transformation combinée(6); Autorisation d'Abattage(2); T4:Transf. int. RBQ/NEXEMP(2),0,0,,,0,,,0
P00018,45.512,-73.5718,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,Transformation combinée(1),0,0,,,0,,,0
P00019,45.512,-73.5716,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,Transformation combinée(1),0,0,,,0,,,0
P00020,45.512,-73.5712,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,2,0,0,0,0,0,,0,0,,0,0,,,1,Ostryer de Virginie(1),5,1
P00021,45.512,-73.5702,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),7,0,0,0,0,0,,7,0,Transformation combinée(4); Autorisation d'Abattage(1); T4:Transf. int. RBQ/NEXEMP(1),0,0,,,0,,,0
